ALLIANCE_NAME,PARTY_FULL_NAME,PARTY_ABBR,Total_Constituency
National Democratic Alliance,All India Anna Dravida Munnetra Kazhagam,AIADMK,179
National Democratic Alliance,Pattali Makkal Katchi,PMK,23
National Democratic Alliance,Bharatiya Janata Party,BJP,20
National Democratic Alliance,Tamil Maanila Congress (Moopanar),TMC(M),6
National Democratic Alliance,Perunthalaivar Makkal Katchi,PTMK,1
National Democratic Alliance,Tamizhaga Makkal Munnetra Kazhagam,TMMK,1
National Democratic Alliance,Moovendar Munnetra Kazhagam,MMK,1
National Democratic Alliance,All India Moovendar Munnani Kazhagam,AIMMK,1
National Democratic Alliance,Puratchi Bharatham Katchi,PBK,1
National Democratic Alliance,Pasumpon Desiya Kazhagam,PDK,1
Secular Progressive Alliance,Dravida Munnetra Kazhagam,DMK,173
Secular Progressive Alliance,Indian National Congress,INC,25
Secular Progressive Alliance,Communist Party of India,CPI,6
Secular Progressive Alliance,Communist Party of India (Marxist),CPI(M),6
Secular Progressive Alliance,Viduthalai Chiruthaigal Katchi,VCK,6
Secular Progressive Alliance,Marumalarchi Dravida Munnetra Kazhagam,MDMK,6
Secular Progressive Alliance,Indian Union Muslim League,IUML,3
Secular Progressive Alliance,Kongunadu Makkal Desia Katchi,KMDK,3
Secular Progressive Alliance,Manithaneya Makkal Katchi,MMK,2
Secular Progressive Alliance,All India Forward Bloc,AIFB,1
Secular Progressive Alliance,Tamizhaga Vazhvurimai Katchi,TVK,1
Secular Progressive Alliance,Makkal Viduthalai Katchi,MVK,1
Secular Progressive Alliance,Aathi Thamizhar Peravai,ATP,1
AMMK+,Amma Makkal Munnettra Kazagam,AMMK,161
AMMK+,Desiya Murpokku Dravida Kazhagam,DMDK,60
AMMK+,Social Democratic Party of India,SDPI,6
AMMK+,All India Majlis-e-Ittehadul Muslimeen,AIMIM,3
AMMK+,Gokula Makkal Katchi,GMK,1
AMMK+,Marudhu Senai Sangam,MSS,1
AMMK+,Viduthalai Tamil Puligal Katchi,VTPK,1
AMMK+,Makkal Arasu Katchi,MAK,1
Makkalin Mudhal Kootani,Makkal Needhi Maiam,MNM,142
Makkalin Mudhal Kootani,Indiya Jananayaka Katchi,IJK,40
Makkalin Mudhal Kootani,All India Samathuva Makkal Katchi,AISMK,33
Makkalin Mudhal Kootani,Tamilaga Makkal Jananayaka Katchi,TMJK,9
Makkalin Mudhal Kootani,Janata Dal (Secular),JD(S),3
Non-aligned parties,Naam Tamilar Katchi,NTK,234
Non-aligned parties,Bahujan Samaj Party,BSP,162
Non-aligned parties,Puthiya Tamilagam,PTK,60
Non-aligned parties,Communist Party of India (Marxist-Leninist) Liberation,CPI(ML)L,12
